 format: day,hour,forecast,value  location:53_120 Start : 20170701 
 4,0200,+25,319.000000 
 4,0200,+28,259.000000 
 4,0200,+31,270.000000 
 4,0200,+34,268.000000 
 4,0200,+37,237.000000 
 4,0200,+40,247.000000 
 4,0200,+43,166.000000 
 4,0200,+46,148.000000 
 4,0200,+49,293.000000 
 4,0200,+52,307.000000 
 4,0200,+55,280.000000 
 4,0200,+58,270.000000 
 4,0200,+61,74.000000 
 4,0500,+4,247.000000 
 4,0500,+7,291.000000 
 4,0500,+10,168.000000 
 4,0500,+13,184.000000 
 4,0500,+16,202.000000 
 4,0500,+19,180.000000 
 4,0500,+22,319.000000 
 4,0500,+25,259.000000 
 4,0500,+28,270.000000 
 4,0500,+31,268.000000 
 4,0500,+34,237.000000 
 4,0500,+37,247.000000 
 4,0500,+40,166.000000 
 4,0500,+43,148.000000 
 4,0500,+46,293.000000 
 4,0500,+49,307.000000 
 4,0500,+52,280.000000 
 4,0500,+55,270.000000 
 4,0500,+58,74.000000 
 4,0800,+4,189.000000 
 4,0800,+7,149.000000 
 4,0800,+10,128.000000 
 4,0800,+13,100.000000 
 4,0800,+16,350.000000 
 4,0800,+19,317.000000 
 4,0800,+22,304.000000 
 4,0800,+25,299.000000 
 4,0800,+28,243.000000 
 4,0800,+31,291.000000 
 4,0800,+34,288.000000 
 4,0800,+37,288.000000 
 4,0800,+40,180.000000 
 4,0800,+43,225.000000 
 4,0800,+46,315.000000 
 4,0800,+49,214.000000 
 4,0800,+52,207.000000 
 4,0800,+55,137.000000 
 4,1100,+4,149.000000 
 4,1100,+7,128.000000 
 4,1100,+10,100.000000 
 4,1100,+13,350.000000 
 4,1100,+16,317.000000 
 4,1100,+19,304.000000 
 4,1100,+22,299.000000 
 4,1100,+25,243.000000 
 4,1100,+28,291.000000 
 4,1100,+31,288.000000 
 4,1100,+34,288.000000 
 4,1100,+37,180.000000 
 4,1100,+40,225.000000 
 4,1100,+43,315.000000 
 4,1100,+46,214.000000 
 4,1100,+49,207.000000 
 4,1100,+52,137.000000 
 4,1400,+4,128.000000 
 4,1400,+7,100.000000 
 4,1400,+10,350.000000 
 4,1400,+13,317.000000 
 4,1400,+16,304.000000 
 4,1400,+19,299.000000 
 4,1400,+22,243.000000 
 4,1400,+25,291.000000 
 4,1400,+28,288.000000 
 4,1400,+31,288.000000 
 4,1400,+34,180.000000 
 4,1400,+37,225.000000 
 4,1400,+40,315.000000 
 4,1400,+43,214.000000 
 4,1400,+46,207.000000 
 4,1400,+49,137.000000 
 4,1700,+4,100.000000 
 4,1700,+7,350.000000 
 4,1700,+10,317.000000 
 4,1700,+13,304.000000 
 4,1700,+16,299.000000 
 4,1700,+19,243.000000 
 4,1700,+22,291.000000 
 4,1700,+25,288.000000 
 4,1700,+28,288.000000 
 4,1700,+31,180.000000 
 4,1700,+34,225.000000 
 4,1700,+37,315.000000 
 4,1700,+40,214.000000 
 4,1700,+43,207.000000 
 4,1700,+46,137.000000 
 4,2000,+4,99.000000 
 4,2000,+7,30.000000 
 4,2000,+10,332.000000 
 4,2000,+13,350.000000 
 4,2000,+16,307.000000 
 4,2000,+19,309.000000 
 4,2000,+22,43.000000 
 4,2000,+25,98.000000 
 4,2000,+28,128.000000 
 4,2000,+31,175.000000 
 4,2000,+34,216.000000 
 4,2000,+37,213.000000 
 4,2000,+40,184.000000 
 4,2000,+43,133.000000 
 4,2000,+46,144.000000 
 4,2000,+49,128.000000 
 4,2000,+52,130.000000 
 4,2000,+55,197.000000 
 4,2000,+58,167.000000 
 4,2000,+61,182.000000 
 4,2000,+64,177.000000 
 4,2000,+67,175.000000 
 4,2300,+4,30.000000 
 4,2300,+7,332.000000 
 4,2300,+10,350.000000 
 4,2300,+13,307.000000 
 4,2300,+16,309.000000 
 4,2300,+19,43.000000 
 4,2300,+22,98.000000 
 4,2300,+25,128.000000 
 4,2300,+28,175.000000 
 4,2300,+31,216.000000 
 4,2300,+34,213.000000 
 4,2300,+37,184.000000 
 4,2300,+40,133.000000 
 4,2300,+43,144.000000 
 4,2300,+46,128.000000 
 4,2300,+49,130.000000 
 4,2300,+52,197.000000 
 4,2300,+55,167.000000 
 4,2300,+58,182.000000 
 4,2300,+61,177.000000 
 4,2300,+64,175.000000 
 5,0200,+4,332.000000 
 5,0200,+7,350.000000 
 5,0200,+10,307.000000 
 5,0200,+13,309.000000 
 5,0200,+16,43.000000 
 5,0200,+19,98.000000 
 5,0200,+22,128.000000 
 5,0200,+25,175.000000 
 5,0200,+28,216.000000 
 5,0200,+31,213.000000 
 5,0200,+34,184.000000 
 5,0200,+37,133.000000 
 5,0200,+40,144.000000 
 5,0200,+43,128.000000 
 5,0200,+46,130.000000 
 5,0200,+49,197.000000 
 5,0200,+52,167.000000 
 5,0200,+55,182.000000 
 5,0200,+58,177.000000 
 5,0200,+61,175.000000 
 5,0500,+4,350.000000 
 5,0500,+7,307.000000 
 5,0500,+10,309.000000 
 5,0500,+13,43.000000 
 5,0500,+16,98.000000 
 5,0500,+19,128.000000 
 5,0500,+22,175.000000 
 5,0500,+25,216.000000 
 5,0500,+28,213.000000 
 5,0500,+31,184.000000 
 5,0500,+34,133.000000 
 5,0500,+37,144.000000 
 5,0500,+40,128.000000 
 5,0500,+43,130.000000 
 5,0500,+46,197.000000 
 5,0500,+49,167.000000 
 5,0500,+52,182.000000 
 5,0500,+55,177.000000 
 5,0500,+58,175.000000 
 5,0800,+4,295.000000 
 5,0800,+7,315.000000 
 5,0800,+10,52.000000 
 5,0800,+13,170.000000 
 5,0800,+16,122.000000 
 5,0800,+19,174.000000 
 5,0800,+22,219.000000 
 5,0800,+25,219.000000 
 5,0800,+28,207.000000 
 5,0800,+31,85.000000 
 5,0800,+34,108.000000 
 5,0800,+37,147.000000 
 5,0800,+40,176.000000 
 5,0800,+43,156.000000 
 5,0800,+46,187.000000 
 5,0800,+49,192.000000 
 5,0800,+52,181.000000 
 5,0800,+55,180.000000 
 5,1100,+4,315.000000 
 5,1100,+7,52.000000 
 5,1100,+10,170.000000 
 5,1100,+13,122.000000 
 5,1100,+16,174.000000 
 5,1100,+19,219.000000 
 5,1100,+22,219.000000 
 5,1100,+25,207.000000 
 5,1100,+28,85.000000 
 5,1100,+31,108.000000 
 5,1100,+34,147.000000 
 5,1100,+37,176.000000 
 5,1100,+40,156.000000 
 5,1100,+43,187.000000 
 5,1100,+46,192.000000 
 5,1100,+49,181.000000 
 5,1100,+52,180.000000 
 5,1400,+4,52.000000 
 5,1400,+7,170.000000 
 5,1400,+10,122.000000 
 5,1400,+13,174.000000 
 5,1400,+16,219.000000 
 5,1400,+19,219.000000 
 5,1400,+22,207.000000 
 5,1400,+25,85.000000 
 5,1400,+28,108.000000 
 5,1400,+31,147.000000 
 5,1400,+34,176.000000 
 5,1400,+37,156.000000 
