월별평년값,,,,,,,,,,,,,
MONTHLY NORMALS,,,,,,,,,,,,,
* 목차로 돌아가기,,,,,,,,,,,,,
일최고기온 Daily Maximum Temperature(℃),,,,,,,,,,,,,
지점번호,지점명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
406,도봉,2.3 ,5.6 ,11.7 ,18.6 ,24.3 ,28.3 ,29.7 ,30.5 ,26.5 ,20.4 ,12.1 ,4.2 
407,노원,2.4 ,5.7 ,11.9 ,18.7 ,24.5 ,28.4 ,29.6 ,30.4 ,26.3 ,20.3 ,12.1 ,4.2 
408,동대문,2.8 ,6.1 ,12.0 ,18.9 ,24.7 ,28.8 ,30.2 ,31.2 ,27.1 ,20.9 ,12.6 ,4.8 
409,중랑,2.5 ,5.7 ,11.8 ,18.7 ,24.6 ,28.5 ,30.0 ,30.9 ,26.8 ,20.5 ,12.2 ,4.3 
410,기상청,2.5 ,5.7 ,11.6 ,18.4 ,24.0 ,27.9 ,29.4 ,30.3 ,26.4 ,20.5 ,12.3 ,4.5 
411,마포,2.4 ,5.6 ,11.7 ,18.5 ,24.3 ,28.3 ,29.8 ,30.7 ,26.7 ,20.5 ,12.2 ,4.4 
412,서대문,2.2 ,5.5 ,11.7 ,18.5 ,24.2 ,28.2 ,29.3 ,30.4 ,26.6 ,20.5 ,12.2 ,4.2 
413,광진,2.6 ,5.9 ,11.9 ,18.7 ,24.5 ,28.6 ,30.0 ,31.0 ,26.8 ,20.6 ,12.4 ,4.5 
414,성북,1.7 ,4.7 ,10.8 ,17.6 ,23.6 ,27.5 ,29.0 ,30.0 ,26.0 ,19.7 ,11.3 ,3.5 
415,용산,2.3 ,5.6 ,11.6 ,18.5 ,24.5 ,28.7 ,30.2 ,31.3 ,27.2 ,20.7 ,12.2 ,4.4 
416,은평,2.1 ,5.2 ,11.1 ,17.8 ,23.6 ,27.6 ,29.1 ,30.1 ,26.3 ,20.1 ,11.9 ,4.1 
417,금천,2.7 ,5.6 ,11.1 ,17.6 ,23.5 ,27.3 ,29.0 ,30.1 ,26.3 ,20.3 ,12.2 ,4.6 
419,중구,0.7 ,4.1 ,10.5 ,17.8 ,23.7 ,27.6 ,28.9 ,29.6 ,25.3 ,19.1 ,10.7 ,2.6 
421,성동,2.6 ,5.8 ,11.5 ,18.2 ,24.3 ,28.1 ,29.5 ,30.6 ,26.6 ,20.6 ,12.3 ,4.4 
423,구로,2.3 ,5.5 ,11.2 ,17.8 ,24.0 ,27.9 ,29.5 ,30.7 ,26.6 ,20.4 ,12.1 ,4.1 
424,강북,2.6 ,5.8 ,11.7 ,18.4 ,24.8 ,28.8 ,30.1 ,31.3 ,26.9 ,20.7 ,12.3 ,4.1 
425,남현,1.7 ,4.6 ,11.4 ,17.7 ,24.0 ,27.9 ,29.1 ,30.1 ,25.7 ,19.4 ,11.6 ,3.4 
433,부천,2.8 ,5.6 ,11.2 ,17.5 ,23.6 ,27.7 ,29.1 ,30.8 ,26.6 ,20.7 ,12.5 ,4.3 
434,안양,2.3 ,5.2 ,10.8 ,17.3 ,23.4 ,27.4 ,28.8 ,30.2 ,25.9 ,20.1 ,11.9 ,4.0 
437,광명,2.5 ,5.6 ,11.3 ,17.8 ,24.0 ,28.0 ,29.4 ,31.0 ,26.8 ,20.7 ,12.5 ,4.3 
438,군포,2.9 ,5.7 ,11.4 ,17.8 ,24.0 ,27.9 ,29.2 ,30.6 ,26.3 ,20.5 ,12.5 ,4.5 
441,김포,1.3 ,4.6 ,10.5 ,16.8 ,22.8 ,27.0 ,28.6 ,30.0 ,25.8 ,19.9 ,11.5 ,3.0 
444,하남,2.7 ,5.9 ,12.1 ,18.8 ,24.9 ,28.7 ,29.5 ,30.6 ,26.2 ,21.0 ,12.6 ,4.1 
445,의왕,1.9 ,4.8 ,10.6 ,17.2 ,23.1 ,27.2 ,28.5 ,29.8 ,25.4 ,19.5 ,11.6 ,3.5 
504,포천,1.8 ,5.3 ,11.6 ,18.8 ,24.5 ,28.6 ,29.8 ,30.7 ,26.4 ,20.3 ,11.6 ,3.6 
505,가평조종,1.0 ,4.5 ,11.0 ,18.3 ,23.8 ,27.6 ,28.7 ,29.7 ,25.5 ,19.3 ,10.8 ,2.6 
510,영등포,2.5 ,5.7 ,11.7 ,18.5 ,24.5 ,28.5 ,30.1 ,31.3 ,27.2 ,20.9 ,12.5 ,4.7 
512,인천연수,2.6 ,5.2 ,10.7 ,17.0 ,22.7 ,26.9 ,29.2 ,30.7 ,26.9 ,20.7 ,12.6 ,4.9 
516,안성,2.8 ,5.8 ,12.2 ,19.0 ,24.6 ,28.3 ,30.2 ,31.0 ,26.7 ,20.8 ,12.7 ,4.7 
517,간성,3.8 ,5.8 ,10.7 ,16.7 ,21.4 ,24.2 ,27.0 ,27.8 ,23.8 ,19.4 ,12.8 ,6.1 
