시도명,시군구명,읍면동,날짜,우량(mm),관리기관명
안산시,상록구,안산동,2014-01-13,0,경기도 안산시청
안산시,상록구,안산동,2014-01-14,0,경기도 안산시청
안산시,상록구,안산동,2014-01-15,0,경기도 안산시청
안산시,상록구,안산동,2014-01-16,0,경기도 안산시청
안산시,상록구,안산동,2014-01-17,0,경기도 안산시청
안산시,상록구,안산동,2014-01-18,0,경기도 안산시청
안산시,상록구,안산동,2014-01-19,0,경기도 안산시청
안산시,상록구,안산동,2014-01-20,1,경기도 안산시청
안산시,상록구,안산동,2014-01-21,0,경기도 안산시청
안산시,상록구,안산동,2014-01-22,2,경기도 안산시청
안산시,상록구,안산동,2014-01-23,1,경기도 안산시청
안산시,상록구,안산동,2014-01-24,0,경기도 안산시청
안산시,상록구,안산동,2014-01-25,2,경기도 안산시청
안산시,상록구,안산동,2014-01-26,0,경기도 안산시청
안산시,상록구,안산동,2014-01-27,0,경기도 안산시청
안산시,상록구,안산동,2014-01-28,0,경기도 안산시청
안산시,상록구,안산동,2014-01-29,0,경기도 안산시청
안산시,상록구,안산동,2014-01-30,4,경기도 안산시청
안산시,상록구,안산동,2014-01-31,0,경기도 안산시청
안산시,상록구,안산동,2014-02-01,7,경기도 안산시청
안산시,상록구,안산동,2014-02-02,1,경기도 안산시청
안산시,상록구,안산동,2014-02-03,0,경기도 안산시청
안산시,상록구,안산동,2014-02-04,0,경기도 안산시청
안산시,상록구,안산동,2014-02-05,0,경기도 안산시청
안산시,상록구,안산동,2014-02-06,0,경기도 안산시청
안산시,상록구,안산동,2014-02-07,0,경기도 안산시청
안산시,상록구,안산동,2014-02-08,0,경기도 안산시청
안산시,상록구,안산동,2014-02-09,1,경기도 안산시청
안산시,상록구,안산동,2014-02-10,1,경기도 안산시청
안산시,상록구,안산동,2014-02-11,0,경기도 안산시청
안산시,상록구,안산동,2014-02-12,0,경기도 안산시청
안산시,상록구,안산동,2014-02-13,0,경기도 안산시청
안산시,상록구,안산동,2014-02-14,0,경기도 안산시청
안산시,상록구,안산동,2014-02-15,0,경기도 안산시청
안산시,상록구,안산동,2014-02-16,0,경기도 안산시청
안산시,상록구,안산동,2014-02-17,0,경기도 안산시청
안산시,상록구,안산동,2014-02-18,0,경기도 안산시청
안산시,상록구,안산동,2014-02-19,0,경기도 안산시청
안산시,상록구,안산동,2014-02-20,0,경기도 안산시청
안산시,상록구,안산동,2014-02-21,0,경기도 안산시청
안산시,상록구,안산동,2014-02-22,0,경기도 안산시청
안산시,상록구,안산동,2014-02-23,0,경기도 안산시청
안산시,상록구,안산동,2014-02-24,0,경기도 안산시청
안산시,상록구,안산동,2014-02-25,0,경기도 안산시청
안산시,상록구,안산동,2014-02-26,0,경기도 안산시청
안산시,상록구,안산동,2014-02-27,0,경기도 안산시청
안산시,상록구,안산동,2014-02-28,0,경기도 안산시청
안산시,상록구,안산동,2014-03-01,0,경기도 안산시청
안산시,상록구,안산동,2014-03-02,0,경기도 안산시청
안산시,상록구,안산동,2014-03-03,0,경기도 안산시청
안산시,상록구,안산동,2014-03-04,0,경기도 안산시청
안산시,상록구,안산동,2014-03-05,0,경기도 안산시청
안산시,상록구,안산동,2014-03-06,0,경기도 안산시청
안산시,상록구,안산동,2014-03-07,0,경기도 안산시청
안산시,상록구,안산동,2014-03-08,0,경기도 안산시청
안산시,상록구,안산동,2014-03-09,4,경기도 안산시청
안산시,상록구,안산동,2014-03-10,0,경기도 안산시청
안산시,상록구,안산동,2014-03-11,0,경기도 안산시청
안산시,상록구,안산동,2014-03-12,3,경기도 안산시청
안산시,상록구,안산동,2014-03-13,0,경기도 안산시청
안산시,상록구,안산동,2014-03-14,0,경기도 안산시청
안산시,상록구,안산동,2014-03-15,0,경기도 안산시청
안산시,상록구,안산동,2014-03-16,0,경기도 안산시청
안산시,상록구,안산동,2014-03-17,0,경기도 안산시청
안산시,상록구,안산동,2014-03-18,0,경기도 안산시청
안산시,상록구,안산동,2014-03-19,0,경기도 안산시청
안산시,상록구,안산동,2014-03-20,0,경기도 안산시청
안산시,상록구,안산동,2014-03-21,0,경기도 안산시청
안산시,상록구,안산동,2014-03-22,0,경기도 안산시청
안산시,상록구,안산동,2014-03-23,0,경기도 안산시청
안산시,상록구,안산동,2014-03-24,0,경기도 안산시청
안산시,상록구,안산동,2014-03-25,1,경기도 안산시청
안산시,상록구,안산동,2014-03-26,2,경기도 안산시청
안산시,상록구,안산동,2014-03-27,0,경기도 안산시청
안산시,상록구,안산동,2014-03-28,0,경기도 안산시청
안산시,상록구,안산동,2014-03-29,0,경기도 안산시청
안산시,상록구,안산동,2014-03-30,0,경기도 안산시청
안산시,상록구,안산동,2014-03-31,0,경기도 안산시청
안산시,상록구,안산동,2014-04-01,0,경기도 안산시청
안산시,상록구,안산동,2014-04-02,0,경기도 안산시청
안산시,상록구,안산동,2014-04-03,0,경기도 안산시청
안산시,상록구,안산동,2014-04-04,0,경기도 안산시청
안산시,상록구,안산동,2014-04-05,0,경기도 안산시청
안산시,상록구,안산동,2014-04-06,0,경기도 안산시청
안산시,상록구,안산동,2014-04-07,0,경기도 안산시청
안산시,상록구,안산동,2014-04-08,0,경기도 안산시청
안산시,상록구,안산동,2014-04-09,0,경기도 안산시청
안산시,상록구,안산동,2014-04-10,0,경기도 안산시청
안산시,상록구,안산동,2014-04-11,0,경기도 안산시청
안산시,상록구,안산동,2014-04-12,0,경기도 안산시청
안산시,상록구,안산동,2014-04-13,0,경기도 안산시청
안산시,상록구,안산동,2014-04-14,0,경기도 안산시청
안산시,상록구,안산동,2014-04-15,0,경기도 안산시청
안산시,상록구,안산동,2014-04-16,0,경기도 안산시청
안산시,상록구,안산동,2014-04-17,4,경기도 안산시청
안산시,상록구,안산동,2014-04-18,1,경기도 안산시청
안산시,상록구,안산동,2014-04-19,0,경기도 안산시청
안산시,상록구,안산동,2014-04-20,0,경기도 안산시청
안산시,상록구,안산동,2014-04-21,0,경기도 안산시청
안산시,상록구,안산동,2014-04-22,0,경기도 안산시청
안산시,상록구,안산동,2014-04-23,0,경기도 안산시청
안산시,상록구,안산동,2014-04-24,0,경기도 안산시청
안산시,상록구,안산동,2014-04-25,0,경기도 안산시청
안산시,상록구,안산동,2014-04-26,0,경기도 안산시청
안산시,상록구,안산동,2014-04-27,7,경기도 안산시청
안산시,상록구,안산동,2014-04-28,25,경기도 안산시청
안산시,상록구,안산동,2014-04-29,11,경기도 안산시청
안산시,상록구,안산동,2014-04-30,0,경기도 안산시청
안산시,상록구,안산동,2014-05-01,0,경기도 안산시청
안산시,상록구,안산동,2014-05-02,0,경기도 안산시청
안산시,상록구,안산동,2014-05-03,0,경기도 안산시청
안산시,상록구,안산동,2014-05-04,0,경기도 안산시청
안산시,상록구,안산동,2014-05-05,0,경기도 안산시청
안산시,상록구,안산동,2014-05-06,0,경기도 안산시청
안산시,상록구,안산동,2014-05-07,0,경기도 안산시청
안산시,상록구,안산동,2014-05-08,6,경기도 안산시청
안산시,상록구,안산동,2014-05-09,0,경기도 안산시청
안산시,상록구,안산동,2014-05-10,0,경기도 안산시청
안산시,상록구,안산동,2014-05-11,27,경기도 안산시청
안산시,상록구,안산동,2014-05-12,17,경기도 안산시청
